Name,Capacity,League,longitude,latitude
Boston Garden,19580,,-71.0621,42.366198
The Rose Garden Arena,19980,,-122.6668423,45.5315651
Vaillant Arena,7080,,9.8263522,46.7985429
Madison Square Garden,20789,,-73.9934387,40.7505045
Carrier Dome,49250,,-76.1363161,43.0362269
Hinkle Fieldhouse,9100,,-86.16722,39.843613
Barclays Center,18103,,-73.9750349,40.6824952
The Palestra,8722,,-75.1887032,39.9513911
Movistar Arena,12000,,-70.6619313,-33.4626751
Rogers Place,19500,,-113.497819,53.5469964
McKale Memorial Center,14545,,-110.9460745,32.2303021
Golden 1 Center,17608,,-121.4996191,38.5806415
Palau Sant Jordi,17000,,2.1526321,41.3634169
Perth Arena,15000,,115.85211,-31.948434
Little Caesars Arena,20491,,-83.0552365,42.3411398
Tauron Arena,15328,,19.9907207,50.0676558
AmericanAirlines Arena,,,-80.186969,25.7814014
Nationwide Arena,,,-83.0060593,39.9692127
United Center,,,-87.6741759,41.8806908
The Pit,,,-106.6322619,35.0670344
Dongguan Sports Center Basketball,,,113.751732,23.024018
Bilbao Arena,,,-2.9260743,43.2522237
Tele2 Arena,,,18.0839639,59.291278
Ankara Arena Sports Hall,,,32.8440108,39.9378266
The O2,,,0.0031543,51.503038
STAPLES Center Lakers,21000,NBA,-118.2673597,34.0430058
Bankers Life Fieldhouse,,,-86.1554641,39.7639301
Mercedes-Benz Arena Berlin,17000,,13.4436316,52.5063143
Perth Arena,,,115.85211,-31.948434
Barclaycard Arena Hamburg,16000,,9.899232,53.58931
Palais 12,18000,,4.3421906,50.9010453
Hovet Arena Stockholm,9000,,18.0818723,59.294914
Mercedes-Benz Arena Shanghai,18000,,121.493103,31.1892515
Ahoy Rotterdam,15818,,4.4881837,51.8827912
The SSE Hydro,13000,,-4.2852742,55.8601755
"The SSE Arena, Wembley",12740,,-0.282586,51.558096
Ülker Sports Arena,15000,Euroleague,29.1047151,40.9928204
Nikos Galis Olympic Indoor Hall,18500,Euroleague,23.7839423,38.0381695
Megasport Sport Palace,14000,Euroleague,37.539649,55.786475
Peace and Friendship Stadium,14940,Euroleague,23.6677262,37.9423908
Menora Mivtachim Arena,11060,Euroleague,34.7913194,32.061087
Abdi ?pekçi Sport Complex,12500,Euroleague,28.9194125,40.9968388
Kombank Arena,18386,Euroleague,20.4212894,44.8141461
Palacio de Deportes de Madrid,15000,Euroleague,-3.6717553,40.4238178
Pabellón Fernando Buesa Arena,15504,Euroleague,-2.6415719,42.8641656
Žalgiris arena,15552,Euroleague,23.9145647,54.8904589
Palau Blaugrana,12000,Eurloleague,2.1181525,41.380013
Brose Arena,6249,Euroleague,10.9203601,49.8790117
Mediolanum Forum,12700,Euroleague,9.1422947,45.4014122
Palacio de Deportes José María Martín Carpena,11300,Euroleague,-4.4605157,36.6826328
