trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",20,0,-124.00907095939726,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.25}",20,0,-132.49288343227352,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.2, 'e': 0.1111111111111111}",25,0,5.192123837137713,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.0625}",25,0,-14.109032873098636,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.04}",30,0,12.802884998359353,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.2, 'e': 0.027777777777777776}",20,0,-1.4988596334950928,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.02040816326530612}",25,0,-155.79949158556474,"{0: 19, 1: 0, 2: 0, 3: 3, 4: 3}",0
8,False,"{'a': 0.2, 'e': 0.015625}",25,0,22.56790939924456,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.012345679012345678}",20,0,21.195239109606618,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.01}",25,0,10.321343463512925,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.2, 'e': 0.008264462809917356}",20,6,17.810124762758793,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.2, 'e': 0.006944444444444444}",25,0,24.87180913775753,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.005917159763313609}",25,0,-70.87932493052854,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.00510204081632653}",20,11,-30.630557559084153,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.2, 'e': 0.0044444444444444444}",20,0,27.550306021865083,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.00390625}",30,0,-10.510845903292598,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.0034602076124567475}",25,0,34.05536026759023,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.0030864197530864196}",20,0,-18.96350994841056,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.002770083102493075}",20,0,22.199166899695065,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.2, 'e': 0.0025}",25,11,21.853420121678827,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.2, 'e': 0.0022675736961451248}",25,0,-32.61028672189119,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.002066115702479339}",30,0,35.06798823452869,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.2, 'e': 0.001890359168241966}",20,0,22.008569470098198,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.2, 'e': 0.001736111111111111}",20,0,13.893725511703705,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.0016}",20,0,-7.830809716482016,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
26,False,"{'a': 0.2, 'e': 0.0014792899408284023}",20,0,24.88115791546012,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.2, 'e': 0.0013717421124828531}",20,0,21.746948238743556,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.0012755102040816326}",25,4,-2.507920161223736,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.2, 'e': 0.0011890606420927466}",20,6,19.13926476549251,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.2, 'e': 0.0011111111111111111}",25,0,18.850558784892115,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.2, 'e': 0.001040582726326743}",20,1,-10.693472265276366,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.2, 'e': 0.0009765625}",25,0,27.30887426243486,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,20.565560415489447,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,0.5178042371727906,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,6,27.15731287377765,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,21.237479836859986,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,2,-1.8452155623511688,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,17.549194230817452,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,4,20.92542258564439,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,24.457391134181872,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,25.16232182079819,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,15,25.761090085282266,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
