trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.008957596002586}",30,18,-52.87028362399751,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.01, 'e': 1.008947335373626}",35,0,-234.10372447307049,"{0: 15, 1: 8, 2: 7, 3: 3, 4: 2}",0
3,False,"{'a': 0.01, 'e': 1.0089345921088917}",20,0,-92.29558316908744,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 1.0089187656034468}",30,0,-146.37777042036495,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 1.00889911}",20,0,-69.3570555712274,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 1.008874699086274}",25,0,-200.79221193464022,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
7,False,"{'a': 0.01, 'e': 1.0088443827231819}",20,0,-45.456329748013644,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 1.0088067327680152}",20,0,-29.356442338302664,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.01, 'e': 1.0087599759716048}",20,0,-45.98267656387645,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 1.0087019107297275}",25,0,-120.0225052667927,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 1.0086298038316472}",20,0,-31.35620557587306,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 1.008540262442313}",30,0,-265.31693668624445,"{0: 12, 1: 6, 2: 7, 3: 1, 4: 4}",0
13,False,"{'a': 0.01, 'e': 1.0084290754436382}",25,0,-196.9318468849289,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
14,False,"{'a': 0.01, 'e': 1.0082910169027368}",20,0,-27.40513221171737,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 1.0081196027834092}",25,0,-197.85479375222613,"{0: 11, 1: 6, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.01, 'e': 1.0079067900188698}",25,0,-165.52269461848076,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.01, 'e': 1.00764260466303}",30,0,-87.10328001119471,"{0: 19, 1: 5, 2: 4, 3: 2, 4: 0}",0
18,False,"{'a': 0.01, 'e': 1.0073146829804547}",20,0,-118.89230762327932,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 1.006907705976701}",20,0,-138.5390260068054,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.01, 'e': 1.0064027039899575}",20,0,-69.86719439027083,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.01, 'e': 1.0057762035867484}",30,4,-113.93002668056107,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 2}",1
22,False,"{'a': 0.01, 'e': 1.0049991842369719}",20,0,-55.61144872006293,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
23,False,"{'a': 0.01, 'e': 1.0040358073344444}",25,0,-103.70541295361308,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
24,False,"{'a': 0.01, 'e': 1.0028418755526067}",25,0,-173.39629330394595,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
25,False,"{'a': 0.01, 'e': 1.0013629771099286}",25,0,-52.31669391431593,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9995322686341714}",20,0,-74.9179122300251,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.997267854124289}",25,0,-167.19830099239422,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9944697293167902}",20,0,-57.939022825944754,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.991016285433482}",25,0,-55.21454627909794,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.9867604107038211}",20,0,-107.65226222135465,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9815253015008982}",20,14,-0.9816838623915731,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.01, 'e': 0.9751002091159554}",20,0,-119.49416963023498,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.9672365164256029}",20,0,-187.97371558975107,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
34,False,"{'a': 0.01, 'e': 0.957644773300878}",25,13,-94.91821473905837,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
35,False,"{'a': 0.01, 'e': 0.9459936262845765}",30,0,-124.81515392625485,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.9319119456309639}",30,0,-177.32047282660972,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.9149958368772874}",25,0,-118.02006764211653,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.8948225255320303}",25,2,-40.88328073656047,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 1}",1
39,False,"{'a': 0.01, 'e': 0.8709731471163287}",20,0,-75.56807308125025,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.8430660040542445}",20,0,-35.59511243251714,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.8108005649388607}",25,12,-70.909533531872,"{0: 6, 1: 4, 2: 2, 3: 0, 4: 1}",1
42,False,"{'a': 0.01, 'e': 0.7740101498914356}",25,0,-92.78911615613787,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.7327179166146376}",25,0,-72.91787460934614,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.6871870203621122}",20,6,-19.6876007881332,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.6379529378494841}",20,13,5.347114199804048,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.5858256672584221}",25,0,-18.818944344140824,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.5318533251017171}",20,0,-85.12092795881497,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.47724667489828276}",20,8,-37.58713722624168,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.4232743327415779}",30,0,29.118242232158256,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.3711470621505156}",20,0,-32.90117848325171,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.3219129796378877}",20,0,30.04605339966971,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.2763820833853624}",35,14,21.5435056945503,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.2350898501085643}",20,7,-34.73900673834828,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.01, 'e': 0.19829943506113923}",25,13,21.03630580830594,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.1660339959457554}",25,0,31.13281660374885,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.13812685288367121}",30,8,-2.1422594827961188,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.11427747446796954}",20,14,12.2469526129147,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.09410416312271264}",20,13,11.188132822474046,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.07718805436903597}",25,12,14.100426444136502,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.06310637371542327}",30,14,25.857636607677662,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.05145522669912184}",20,3,16.500636512941117,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.04186348357439684}",30,19,22.51155178466337,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.03399979088404459}",20,0,3.0596198418076583,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.027574698499101546}",35,0,52.4954612033089,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.02233958929617874}",20,11,17.62461682264187,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.018083714566517917}",25,0,31.48791246200259,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.014630270683209656}",25,0,22.56530199301917,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.011832145875710798}",30,20,17.52032035248537,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.009567731365828336}",20,6,21.178853731277997,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.007737022890071277}",30,15,18.137331374734874,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.006258124447393154}",20,13,11.203863264927516,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.005064192665555467}",30,20,17.6740159197524,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.0041008157630280095}",20,8,22.62787894847276,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.003323796413251756}",30,24,7.50384367507486,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.002697296010042427}",35,10,42.365527987759755,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.002192294023298569}",25,16,14.463093895586216,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.0017853170195452073}",20,13,10.558321828291458,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.001457395336969869}",30,0,40.26549167498817,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
