trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.55056500185833,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.0614787467262,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.23737337142381,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.90891476379534,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.71220743753533,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,13,-45.06042062076804,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.3296710362051,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.17452493833642,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.43532439897889,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.75989655391837,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.24312696666959,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.29878777217357,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-186.16075613746423,"{0: 18, 1: 5, 2: 10, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.70890963580152,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,3,-130.44610715006692,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.74234325423504,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.48257653596747,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.59873883279862,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.57113888106522,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.29618578574507,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-229.2159827430071,"{0: 21, 1: 3, 2: 6, 3: 1, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-73.8205981921302,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-229.97665625415524,"{0: 15, 1: 4, 2: 7, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-190.5066980653921,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,7,-113.58528465164169,"{0: 11, 1: 1, 2: 2, 3: 3, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-220.08945079278325,"{0: 8, 1: 0, 2: 7, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-229.1915006216837,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-237.62241827467656,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,5,-128.65145389464752,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,4,-156.17421385049408,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 2}",1
