trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-121.70173331406374,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-108.54169036256326,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-76.21145071654892,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-190.5755056312896,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-95.45407531834955,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-23.084951862358718,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-228.2882049503538,"{0: 12, 1: 6, 2: 1, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-146.91259522422905,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-140.89890863594886,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-131.3572455211371,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-178.34078571067352,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-186.98490535299118,"{0: 16, 1: 3, 2: 0, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-86.91064802430743,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-168.33020274540826,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-45.9486118047082,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-87.98152688415192,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-151.81228650514564,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-210.5022583905293,"{0: 21, 1: 3, 2: 6, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-115.05159509627465,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-104.1737256064059,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,4,-91.86918571576275,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-138.96436351047691,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-84.14050505749833,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-109.52647788097389,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-229.36064998215028,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,15,3.1473058133619967,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-122.56297358831247,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-285.2382167113277,"{0: 14, 1: 2, 2: 7, 3: 3, 4: 4}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-170.74031362663277,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,9,-21.821661760597536,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
