trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.134830468123736}",25,0,-29.924545004188985,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.7, 'e': 1.132189576872766}",25,0,-96.1333396661048,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.7, 'e': 1.129097397171023}",20,0,-66.41477328817567,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.7, 'e': 1.1254799924136765}",30,0,-137.18708586891992,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.7, 'e': 1.1212525}",25,0,-165.73731579405518,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 0.7, 'e': 1.1163179604302476}",20,9,-57.95780965562095,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 1}",1
7,False,"{'a': 0.7, 'e': 1.1105661936199756}",25,0,-46.3399023647133,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 1.1038728066026862}",20,0,-172.87229028138498,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.7, 'e': 1.0960984489269958}",20,0,-75.00765923558737,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.7, 'e': 1.0870884705788397}",30,0,-79.53297547667943,"{0: 18, 1: 6, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.7, 'e': 1.076673181052347}",30,7,-78.61132299053553,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 0}",1
12,False,"{'a': 0.7, 'e': 1.064668954344126}",25,0,-154.05828405786605,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
13,False,"{'a': 0.7, 'e': 1.0508804676007553}",25,0,-71.14834239403959,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.7, 'e': 1.035104391802488}",20,0,-141.4766195823672,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.7, 'e': 1.0171348578505834}",20,0,-78.19984241756295,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.7, 'e': 0.9967709830634249}",20,0,-75.75215014289232,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.9738266406868896}",20,0,-109.72617547464897,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
