trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-271.36738623332786,"{0: 14, 1: 3, 2: 7, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.67368911037376,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.29348337642466,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.55393883725984,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.85977715377439,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.11635334973877,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.00244552257868,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.92058783446689,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.23265204266417,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.38240703394962,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.79634955132906,"{0: 7, 1: 6, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-12.743701970364546,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,16,-27.724610609292807,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.90999641206082,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.16366025548975,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.41647180950048,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.401533354987293,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.13138579671364,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.71480753432613,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,11,-17.648805000522557,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-178.4653097743543,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-96.53743092093222,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.89909184803851,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-39.91524213912402,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.82973591966683,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.37027917418351,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.05280885267339,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.0065117791547,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,4,-125.88380436892334,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-136.30612712270738,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
