trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-95,-682.9171887985386,"{0: 73, 1: 11, 2: 20, 3: 5, 4: 11}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,4,-12.30048105238753,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,10,-24.571445620124397,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,-18,-146.568453306416,"{0: 20, 1: 7, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-100,-476.90619115277445,"{0: 81, 1: 17, 2: 23, 3: 4, 4: 5}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-100,-679.2536491316545,"{0: 67, 1: 18, 2: 18, 3: 9, 4: 8}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,-13,-239.23214344902217,"{0: 28, 1: 2, 2: 7, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-16,-162.91012466970702,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,-100,-443.245049837631,"{0: 89, 1: 12, 2: 21, 3: 1, 4: 7}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-100,-689.387297046859,"{0: 69, 1: 17, 2: 24, 3: 7, 4: 8}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-771.78779427361,"{0: 68, 1: 11, 2: 25, 3: 4, 4: 12}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-654.1628229925354,"{0: 72, 1: 15, 2: 20, 3: 2, 4: 11}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,-29,-277.98637460634615,"{0: 30, 1: 7, 2: 11, 3: 3, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-76,-461.734647363248,"{0: 54, 1: 12, 2: 23, 3: 1, 4: 6}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-8,-154.76838020321443,"{0: 16, 1: 4, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,7,-53.68451419108301,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-520.4683798795719,"{0: 74, 1: 11, 2: 27, 3: 1, 4: 7}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-37,-274.82189651797694,"{0: 39, 1: 3, 2: 15, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-100,-545.3596028739812,"{0: 73, 1: 18, 2: 18, 3: 3, 4: 8}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-92,-588.8041940771066,"{0: 66, 1: 14, 2: 27, 3: 3, 4: 7}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-100,-470.89366299249747,"{0: 75, 1: 14, 2: 21, 3: 5, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-85,-571.4416575538182,"{0: 66, 1: 11, 2: 21, 3: 4, 4: 8}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,-6,-110.94757535338927,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,-72,-840.0070708330934,"{0: 48, 1: 14, 2: 13, 3: 9, 4: 13}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-100,-955.5700988918703,"{0: 65, 1: 12, 2: 18, 3: 10, 4: 15}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-93,-387.05284549656966,"{0: 80, 1: 10, 2: 15, 3: 1, 4: 7}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-27,-207.13110455185097,"{0: 32, 1: 4, 2: 7, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,-100,-719.6552610670278,"{0: 70, 1: 17, 2: 21, 3: 8, 4: 9}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,8,-34.88785293072514,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,-100,-557.9848771712658,"{0: 79, 1: 13, 2: 21, 3: 4, 4: 8}",0
